id,name,linkedin_id
mckinsey,McKinsey & Company,1371
bcg,Boston Consulting Group,1784
bain,Bain & Company,2114
deloitte,Deloitte Consulting,1038
ey-parthenon,EY-Parthenon,9519
pwc-strategy,PwC Strategy&,224605
pwc-consulting,PwC Consulting,1044
kpmg,KPMG Advisory,2525300
kpmg-us,KPMG Advisory,1079
oliver-wyman,Oliver Wyman,2454
kearney,Kearney,2196
lek,L.E.K. Consulting,5210
roland-berger,Roland Berger,3950
occ,OC&C Strategy Consultants,8203
cicero-group,Cicero Group,1262517
innosight,Innosight,32860
advancy,Advancy,39974
clarkston,Clarkston Consulting,8756
porsche-consulting,Porsche Consulting,2670784
accenture,Accenture Strategy,1033
slalom,Slalom,166000
credera,Credera,21837
booz-allen,Booz Allen Hamilton,1403
north-highland,North Highland,166391
simon-kucher,Simon-Kucher & Partners,9546
alvarez-marsal,Alvarez & Marsal,162399
alvarez-marsal-crg,Alvarez & Marsal Consumer and Retail Group,80198080
alixpartners,AlixPartners,7787
keystone-group,The Keystone Group,
analysis-group,Analysis Group,
cornerstone-research,Cornerstone Research,
nera,NERA Economic Consulting,
fti-consulting,FTI Consulting,
bates-white,Bates White,
charles-river-associates,Charles River Associates,
zs-associates,ZS Associates,
clearview-healthcare,ClearView Healthcare Partners,
putnam,Putnam (Inizio Advisory),
huron,Huron Consulting,
decibio,DeciBio Consulting,
stax,Stax (Grant Thornton),
palm-tree,Palm Tree LLC,
altman-solon,Altman Solon,
guidehouse,Guidehouse,
mercer,Mercer,
korn-ferry,Korn Ferry,
leader-factor,Leader Factor,
bridgespan,Bridgespan Group,
west-monroe,West Monroe,
point-b,Point B,
arthur-d-little,Arthur D. Little,
brattle-group,The Brattle Group,
chartis,Chartis,
